Date,Confirmed
2020-01-22,557
2020-01-23,657
2020-01-24,944
2020-01-25,1437
2020-01-26,2120
2020-01-27,2929
2020-01-28,5580
2020-01-29,6169
2020-01-30,8237
2020-01-31,9927
2020-02-01,12038
2020-02-02,16787
2020-02-03,19887
2020-02-04,23899
2020-02-05,27644
2020-02-06,30806
2020-02-07,34339
2020-02-08,37070
2020-02-09,40098
2020-02-10,42636
2020-02-11,44679
2020-02-12,46565
2020-02-13,60209
2020-02-14,66694
2020-02-15,68770
2020-02-16,70883
2020-02-17,72819
2020-02-18,74613
2020-02-19,75034
2020-02-20,75582
2020-02-21,76212
2020-02-22,77974
2020-02-23,78299
2020-02-24,78867
2020-02-25,79722
2020-02-26,80686
2020-02-27,82045
2020-02-28,83444
2020-02-29,85338
2020-03-01,87718
2020-03-02,89697
2020-03-03,92306
2020-03-04,94645
2020-03-05,97473
2020-03-06,101406
2020-03-07,105531
2020-03-08,109459
2020-03-09,113657
2020-03-10,118563
2020-03-11,126263
2020-03-12,132386
2020-03-13,146578
2020-03-14,157699
2020-03-15,169125
2020-03-16,183946
2020-03-17,200078
2020-03-18,219755
2020-03-19,247063
2020-03-20,278176
2020-03-21,310251
2020-03-22,345433
2020-03-23,388458
2020-03-24,429708
2020-03-25,481042
2020-03-26,544117
2020-03-27,609207
2020-03-28,678881
2020-03-29,735547
2020-03-30,800835
2020-03-31,878030
2020-04-01,960359
2020-04-02,1043197
2020-04-03,1127152
2020-04-04,1186062
2020-04-05,1256140
2020-04-06,1330099
2020-04-07,1399534
2020-04-08,1483046
2020-04-09,1569683
2020-04-10,1654922
2020-04-11,1728874
2020-04-12,1847899
2020-04-13,1919068
2020-04-14,2002832
2020-04-15,2081236
2020-04-16,2175702
2020-04-17,2263474
2020-04-18,2340187
2020-04-19,2416405
2020-04-20,2492312
2020-04-21,2567844
2020-04-22,2649363
2020-04-23,2732496
2020-04-24,2816011
2020-04-25,2899100
2020-04-26,2969635
2020-04-27,3040482
2020-04-28,3116176
2020-04-29,3193572
2020-04-30,3276733
2020-05-01,3365563
2020-05-02,3444394
2020-05-03,3518630
2020-05-04,3595908
2020-05-05,3675616
2020-05-06,3766335
2020-05-07,3854756
2020-05-08,3945286
2020-05-09,4029426
2020-05-10,4104519
2020-05-11,4180811
2020-05-12,4265664
2020-05-13,4350066
2020-05-14,4445253
2020-05-15,4541464
2020-05-16,4635541
2020-05-17,4713616
2020-05-18,4802788
2020-05-19,4899348
2020-05-20,5004362
2020-05-21,5110134
2020-05-22,5217658
2020-05-23,5321668
2020-05-24,5414805
2020-05-25,5502722
2020-05-26,5595671
2020-05-27,5698282
2020-05-28,5818044
2020-05-29,5939813
2020-05-30,6074812
2020-05-31,6177133
2020-06-01,6276626
2020-06-02,6400968
2020-06-03,6512259
2020-06-04,6650441
2020-06-05,6783961
2020-06-06,6913631
2020-06-07,7024511
2020-06-08,7127748
2020-06-09,7254053
2020-06-10,7390801
2020-06-11,7526053
2020-06-12,7654030
2020-06-13,7787556
2020-06-14,7919630
2020-06-15,8044358
2020-06-16,8188881
2020-06-17,8331982
2020-06-18,8474883
2020-06-19,8656187
2020-06-20,8841822
2020-06-21,8934817
2020-06-22,9076674
2020-06-23,9244843
2020-06-24,9416162
2020-06-25,9595282
2020-06-26,9788430
2020-06-27,9965013
2020-06-28,10132790
2020-06-29,10285721
2020-06-30,10469023
2020-07-01,10684384
2020-07-02,10888627
2020-07-03,11091571
2020-07-04,11281234
2020-07-05,11467138
2020-07-06,11635054
2020-07-07,11843953
2020-07-08,12059757
2020-07-09,12283542
2020-07-10,12516588
2020-07-11,12729700
2020-07-12,12921201
2020-07-13,13117113
2020-07-14,13337621
2020-07-15,13567252
2020-07-16,13811761
2020-07-17,14049457
2020-07-18,14285013
2020-07-19,14497100
2020-07-20,14705852
2020-07-21,14947899
2020-07-22,15223663
2020-07-23,15503574
2020-07-24,15787412
2020-07-25,16035876
2020-07-26,16248779
2020-07-27,16483540
2020-07-28,16748037
2020-07-29,17019134
2020-07-30,17299389
2020-07-31,17588527
2020-08-01,17834626
2020-08-02,18065684
2020-08-03,18271120
2020-08-04,18536641
2020-08-05,18812644
2020-08-06,19098847
2020-08-07,19382041
2020-08-08,19646766
2020-08-09,19880241
2020-08-10,20114450
2020-08-11,20379705
2020-08-12,20654868
2020-08-13,20944778
2020-08-14,21252624
2020-08-15,21500382
2020-08-16,21710883
2020-08-17,21924836
2020-08-18,22183744
2020-08-19,22461712
2020-08-20,22732115
2020-08-21,22995159
2020-08-22,23256755
2020-08-23,23460302
2020-08-24,23689067
2020-08-25,23933865
2020-08-26,24215776
2020-08-27,24502703
2020-08-28,24787146
2020-08-29,25047387
2020-08-30,25266034
2020-08-31,25531596
2020-09-01,25798232
2020-09-02,26080302
2020-09-03,26365965
2020-09-04,26667189
2020-09-05,26939954
2020-09-06,27169535
2020-09-07,27388123
2020-09-08,27634065
2020-09-09,27919075
2020-09-10,28222938
2020-09-11,28539480
2020-09-12,28827605
2020-09-13,29075562
2020-09-14,29343765
2020-09-15,29623947
2020-09-16,29929290
2020-09-17,30243888
2020-09-18,30571668
2020-09-19,30863123
2020-09-20,31118785
2020-09-21,31379304
2020-09-22,31662780
2020-09-23,31974832
2020-09-24,32295483
2020-09-25,32626060
2020-09-26,32910103
2020-09-27,33157744
2020-09-28,33421167
2020-09-29,33703266
2020-09-30,34028242
2020-10-01,34347468
2020-10-02,34676680
2020-10-03,34973157
2020-10-04,35232297
2020-10-05,35544874
2020-10-06,35860263
2020-10-07,36210478
2020-10-08,36570261
2020-10-09,36930411
2020-10-10,37284125
2020-10-11,37571924
2020-10-12,37866809
2020-10-13,38185792
2020-10-14,38567316
2020-10-15,38975891
2020-10-16,39385413
2020-10-17,39754739
2020-10-18,40084144
2020-10-19,40462665
2020-10-20,40852810
2020-10-21,41296549
2020-10-22,41771959
2020-10-23,42268398
2020-10-24,42720137
2020-10-25,43078448
2020-10-26,43565341
2020-10-27,44033715
2020-10-28,44554438
2020-10-29,45106757
2020-10-30,45679447
2020-10-31,46148799
2020-11-01,46583380
2020-11-02,47143342
2020-11-03,47697461
2020-11-04,48203842
2020-11-05,48824794
2020-11-06,49444668
2020-11-07,50037343
2020-11-08,50523407
2020-11-09,51027518
2020-11-10,51606121
2020-11-11,52232867
2020-11-12,52877420
2020-11-13,53536989
2020-11-14,54117079
2020-11-15,54592648
2020-11-16,55122235
2020-11-17,55732893
2020-11-18,56361032
2020-11-19,57016061
2020-11-20,57689072
2020-11-21,58275974
2020-11-22,58762388
2020-11-23,59296839
2020-11-24,59889937
2020-11-25,60521047
2020-11-26,61113459
2020-11-27,61804708
2020-11-28,62406909
2020-11-29,62889293
2020-11-30,63396692
2020-12-01,64020520
2020-12-02,64667284
2020-12-03,65359442
2020-12-04,66048139
2020-12-05,66697073
2020-12-06,67233372
2020-12-07,67761012
2020-12-08,68404265
2020-12-09,69078994
2020-12-10,70581941
2020-12-11,71289063
2020-12-12,71930509
2020-12-13,72464731
2020-12-14,73008121
2020-12-15,73671646
2020-12-16,74396850
2020-12-17,75137992
2020-12-18,75861914
2020-12-19,76481258
2020-12-20,77018969
2020-12-21,77571656
2020-12-22,78237608
2020-12-23,78930412
2020-12-24,79618583
2020-12-25,80107778
2020-12-26,80623139
2020-12-27,81034531
2020-12-28,81536330
2020-12-29,82209974
2020-12-30,82946778
2020-12-31,83774402
2021-01-01,84348557
2021-01-02,84937731
2021-01-03,85458608
2021-01-04,86017453
2021-01-05,86762486
2021-01-06,87559389
2021-01-07,88450696
2021-01-08,89274978
2021-01-09,90029608
2021-01-10,90617533
2021-01-11,91230420
2021-01-12,91935388
2021-01-13,92685881
2021-01-14,93442069
2021-01-15,94215587
2021-01-16,94867362
2021-01-17,95394621
2021-01-18,95914072
2021-01-19,96505715
2021-01-20,97206815
2021-01-21,97862784
2021-01-22,98526909
2021-01-23,99099892
2021-01-24,99561014
2021-01-25,100041930
2021-01-26,100605247
2021-01-27,101209724
2021-01-28,101819912
2021-01-29,102411417
